Experiment Date: 15 April 2024 Time: 2:20 plus
Start of Data Logging
Line Break

Start of Data Logging
Line Break
Internal_Air_Temp(degree celsius); 23.62;   24.00;   |Temp_substrate(degree celsius); -127.00;   23.00;   23.00;   |Moisture (AnalogRead); 584.00;   587.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 122.70;   |DHT22(%); 65.40;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.69;   24.00;   |Temp_substrate(degree celsius); -127.00;   23.00;   22.94;   |Moisture (AnalogRead); 582.00;   587.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 128.20;   |DHT22(%); 65.20;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.62;   24.00;   |Temp_substrate(degree celsius); -127.00;   23.00;   23.00;   |Moisture (AnalogRead); 582.00;   586.00;   582.00;   |Actual pH; 6.30;   |Methane(ppm); 125.43;   |DHT22(%); 65.20;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.69;   24.00;   |Temp_substrate(degree celsius); -127.00;   23.06;   23.00;   |Moisture (AnalogRead); 583.00;   587.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 124.06;   |DHT22(%); 65.10;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.69;   24.00;   |Temp_substrate(degree celsius); -127.00;   23.06;   22.94;   |Moisture (AnalogRead); 582.00;   587.00;   584.00;   |Actual pH; 6.37;   |Methane(ppm); 124.06;   |DHT22(%); 65.20;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.62;   23.94;   |Temp_substrate(degree celsius); -127.00;   23.00;   22.94;   |Moisture (AnalogRead); 582.00;   586.00;   584.00;   |Actual pH; 6.37;   |Methane(ppm); 125.43;   |DHT22(%); 65.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.62;   24.00;   |Temp_substrate(degree celsius); -127.00;   23.06;   22.94;   |Moisture (AnalogRead); 583.00;   586.00;   583.00;   |Actual pH; 6.30;   |Methane(ppm); 124.06;   |DHT22(%); 65.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.69;   23.94;   |Temp_substrate(degree celsius); -127.00;   23.00;   22.94;   |Moisture (AnalogRead); 581.00;   586.00;   582.00;   |Actual pH; 6.34;   |Methane(ppm); 124.06;   |DHT22(%); 65.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.56;   23.94;   |Temp_substrate(degree celsius); -127.00;   22.94;   22.87;   |Moisture (AnalogRead); 582.00;   586.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 124.06;   |DHT22(%); 65.10;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 23.50;   23.87;   |Temp_substrate(degree celsius); -127.00;   22.94;   22.81;   |Moisture (AnalogRead); 583.00;   586.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 124.06;   |DHT22(%); 64.90;   |Fan Level; 0.00;   |
