Experiment Date: 15 April 2024 Time: 2:20 plus																			
Start of Data Logging																			
Line Break																			
																			
Start of Data Logging																			
Line Break	Internal_Air_Temp(degree celsius)																		
Internal_Air_Temp(degree celsius)	23.69	24	   |Temp_substrate(degree celsius)	-127	23.06	23	   |Moisture (AnalogRead)	583	587	584	   |Actual pH	6.3	   |Methane(ppm)	124.06	   |DHT22(%)	65.1	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.69	24	   |Temp_substrate(degree celsius)	-127	23.06	22.94	   |Moisture (AnalogRead)	582	587	584	   |Actual pH	6.37	   |Methane(ppm)	124.06	   |DHT22(%)	65.2	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.62	23.94	   |Temp_substrate(degree celsius)	-127	23	22.94	   |Moisture (AnalogRead)	582	586	584	   |Actual pH	6.37	   |Methane(ppm)	125.43	   |DHT22(%)	65	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.62	24	   |Temp_substrate(degree celsius)	-127	23.06	22.94	   |Moisture (AnalogRead)	583	586	583	   |Actual pH	6.3	   |Methane(ppm)	124.06	   |DHT22(%)	65	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.69	23.94	   |Temp_substrate(degree celsius)	-127	23	22.94	   |Moisture (AnalogRead)	581	586	582	   |Actual pH	6.34	   |Methane(ppm)	124.06	   |DHT22(%)	65	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.56	23.94	   |Temp_substrate(degree celsius)	-127	22.94	22.87	   |Moisture (AnalogRead)	582	586	584	   |Actual pH	6.34	   |Methane(ppm)	124.06	   |DHT22(%)	65.1	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.5	23.87	   |Temp_substrate(degree celsius)	-127	22.94	22.81	   |Moisture (AnalogRead)	583	586	584	   |Actual pH	6.3	   |Methane(ppm)	124.06	   |DHT22(%)	64.9	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.5	23.87	   |Temp_substrate(degree celsius)	-127	22.87	22.75	   |Moisture (AnalogRead)	582	587	583	   |Actual pH	6.34	   |Methane(ppm)	125.43	   |DHT22(%)	65	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.5	23.87	   |Temp_substrate(degree celsius)	-127	22.87	22.75	   |Moisture (AnalogRead)	582	587	583	   |Actual pH	6.3	   |Methane(ppm)	125.43	   |DHT22(%)	65.2	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.44	23.81	   |Temp_substrate(degree celsius)	-127	22.94	22.75	   |Moisture (AnalogRead)	583	588	584	   |Actual pH	6.34	   |Methane(ppm)	124.06	   |DHT22(%)	65.3	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.37	23.81	   |Temp_substrate(degree celsius)	-127	22.87	22.69	   |Moisture (AnalogRead)	582	587	583	   |Actual pH	6.34	   |Methane(ppm)	124.06	   |DHT22(%)	65.4	   |Fan Level	0	   |
Internal_Air_Temp(degree celsius)	23.37	23.75	   |Temp_substrate(degree celsius)	-127	22.81	22.69	   |Moisture (AnalogRead)	583	587	583	   |Actual pH	6.3	   |Methane(ppm)	124.06	   |DHT22(%)	65.3	   |Fan Level	0	   |
